Agency Code,Agency Name,GEOID
10011,Dolton Police,1600000US1720292
12987,South Suburban College Police,
12988,South Holland Police,1600000US1770850
12989,South Chicago Heights Police,1600000US1770629
12990,Skokie Police,1600000US1770122
12991,Schiller Park Police,1600000US1768081
12992,Schaumburg Police,1600000US1768003
12993,Sauk Village Police,1600000US1767769
12994,Rosemont Police,1600000US1765819
12995,Rolling Meadows Police,1600000US1765338
12996,Robbins Police,1600000US1764616
12997,Riverside Police,1600000US1764421
12998,Riverdale Police,1600000US1764278
12999,River Grove Police,1600000US1764343
13000,River Forest Police,1600000US1764304
13001,Richton Park Police,1600000US1763706
13002,Prospect Heights Police,1600000US1762016
13003,Posen Police,1600000US1761314
13004,Phoenix Police,1600000US1759572
13005,Park Ridge Police,1600000US1757875
13006,Park Forest Police,1600000US1757732
13007,Palos Park Police,1600000US1757407
13008,Palos Hills Police,1600000US1757394
13009,Palos Heights Police,1600000US1757381
13010,Palatine Police,1600000US1757225
13011,Orland Park Police,1600000US1756640
13012,Olympia Fields Police,1600000US1755938
13013,Oakton Community College Police,
13014,Oak Park Police,1600000US1754885
13015,Oak Lawn Police,1600000US1754820
13016,Oak Forest Police,1600000US1754638
13017,Oak Forest Hospital Of Cook County Police,
13018,Northwestern University Police,
13019,Northlake Police,1600000US1753871
13020,Northfield Police,1600000US1753663
13021,Northeastern Illinois University Police,
13022,Northbrook Police,1600000US1753481
13023,North Riverside Police,1600000US1754144
13024,Norridge Police,1600000US1753377
13025,Niles Police,1600000US1753000
13026,Mount Prospect Police,1600000US1751089
13027,Morton Grove Police,1600000US1750647
13028,Morton Grove Park District Police,
13029,Moraine Valley Community College Police,
13030,Midlothian Police,1600000US1748892
13031,Metro Water Reclamation District Police,
13032,Memorial Park District Police,
13033,Melrose Park Police,1600000US1748242
13034,Mccook Police,1600000US1745564
13035,Maywood Police,1600000US1747774
13036,Matteson Police,1600000US1747540
13037,Markham Police,1600000US1747007
13038,Lyons Police,1600000US1745434
13040,Lincolnwood Police,1600000US1743744
13041,Lansing Police,1600000US1742028
13043,Lagrange Park Police,
13044,Kenilworth Police,1600000US1739519
13045,Indian Head Park Police,1600000US1737257
13046,Homewood Police,1600000US1735879
13047,Hometown Police,1600000US1735866
13048,Hoffman Estates Police,1600000US1735411
13049,Hodgkins Police,1600000US1735385
13054,Adams County Sheriff,
13055,Camp Point Police,1600000US1710877
13056,Payson Police,1600000US1758265
13058,Quincy Police,1600000US1762367
13059,Alexander County Sheriff,
13060,Cairo Police,1600000US1710383
13061,South Barrington Police,1600000US1770564
13062,Tamms Police,1600000US1774457
13063,Thebes Police,1600000US1774873
13064,Pocahontas Police,1600000US1760872
13065,Greenville Police,1600000US1731589
13066,Donnellson Police,1600000US1720318
13067,Bond County Sheriff,
13068,Boone County Sheriff,
13069,Belvidere Police,1600000US1705092
13070,Mount Sterling Police,1600000US1751154
13071,Brown County Sheriff,
13072,Wyanet Police,1600000US1783622
13073,Walnut Police,1600000US1778526
13074,Tiskilwa Police,1600000US1775549
13075,Spring Valley Police,1600000US1772156
13076,Sheffield Police,1600000US1769147
13077,Princeton Police,1600000US1761899
13078,Neponset Police,1600000US1751999
13079,Lamoille Police,
13080,Ladd Police,1600000US1740598
13081,Depue Police,
13082,Cherry Police,1600000US1712970
13083,Bureau County Sheriff,
13084,Buda Police,1600000US1709356
13085,Hardin Police,1600000US1732850
13086,Calhoun County Sheriff,
13087,Thomson Police,1600000US1775172
13088,Savanna Police,1600000US1767821
13089,Mount Carroll Police,1600000US1750881
13090,Lanark Police,1600000US1741859
13091,Chadwick Police,1600000US1712294
13092,Carroll County Sheriff,
13093,Shannon Police,1600000US1768991
13094,Virginia Police,1600000US1778201
13095,Chandlerville Police,1600000US1712450
13096,Cass County Sheriff,
13097,Beardstown Police,1600000US1704351
13098,Ashland Police,1600000US1702505
13100,Urbana Police,1600000US1777005
13101,University Of Illinois Urbana Police,
13102,Tolono Police,1600000US1775614
13103,Thomasboro Police,1600000US1775107
13104,Rantoul Police,1600000US1762783
13105,Parkland College Police,
13106,Mahomet Police,1600000US1746136
13107,Ludlow Police,1600000US1745174
13108,Homer Police,1600000US1735814
13109,Gifford Police,1600000US1729145
13110,Fisher Police,1600000US1726194
13111,Champaign Police,1600000US1712385
13112,Champaign County Sheriff,
13113,Ogden Police,1600000US1755275
13114,Taylorville Police,1600000US1774574
13115,Pana Police,1600000US1757472
13116,Morrisonville Police,1600000US1750543
13117,Kincaid Police,1600000US1739909
13118,Edinburg Police,1600000US1722645
13119,Christian County Sheriff,
13120,Assumption Police,1600000US1702609
13121,Stonington Police,1600000US1772949
13122,Mount Auburn Police,1600000US1750829
13123,Martinsville Police,1600000US1747254
13124,Marshall Police,1600000US1747163
13125,Clark County Sheriff,
13126,Casey Police,1600000US1711618
13127,Flora Police,1600000US1726454
13128,Clay County Sheriff,
13129,Trenton Police,1600000US1775991
13130,New Baden Police,1600000US1752142
13132,Clinton County Sheriff,
13133,Carlyle Police,1600000US1711228
13134,Breese Police,1600000US1707913
13135,Beckemeyer Police,1600000US1704533
13136,Aviston Police,1600000US1703181
13137,Albers Police,1600000US1700555
13138,Oakland Police,1600000US1754781
13139,Mattoon Police,1600000US1747553
13140,Lake Land College Police,
13141,Eastern Illinois University Police,
13142,Coles County Sheriff,
13143,Charleston Police,1600000US1712567
13144,Worth Police,1600000US1783518
13145,Winnetka Police,1600000US1782530
13146,Wilmette Police,1600000US1782075
13147,Willow Springs Police,1600000US1782049
13148,Wheeling Police,1600000US1781087
13149,Western Springs Police,1600000US1780242
13150,Westchester Police,1600000US1780047
13152,University Of Illinois Chicago Police,
13153,Union Pacific Railroad Police,
13154,Triton College Police,
13155,Tinley Park Police,1600000US1775484
13156,Thornton Police,1600000US1775185
13157,Summit Police,1600000US1773638
13158,Streamwood Police,1600000US1773157
13159,Stone Park Police,1600000US1772923
13160,Stickney Police,1600000US1772676
13161,Steger Police,1600000US1772520
13162,Hillside Police,1600000US1735086
13163,Hickory Hills Police,1600000US1734514
13164,Hazel Crest Police,1600000US1733695
13165,Harwood Heights Police,1600000US1733435
13166,Harvey Police,1600000US1733383
13167,Harper College Police,
13168,Hanover Park Police,1600000US1732746
13169,Glenwood Police,1600000US1730029
13170,Glenview Police,1600000US1729938
13171,Glencoe Police,1600000US1729652
13172,Franklin Park Police,1600000US1727702
13173,Forest View Police,1600000US1726987
13174,Forest Park Police,1600000US1726935
13175,Ford Heights Police,1600000US1726710
13176,Flossmoor Police,1600000US1726571
13177,Evergreen Park Police,1600000US1724634
13178,Evanston Police,1600000US1724582
13179,Elmwood Park Police,1600000US1723724
13180,Elk Grove Village Police,1600000US1723256
13181,East Hazel Crest Police,1600000US1721904
13183,Dixmoor Police,1600000US1720149
13184,Des Plaines Police,1600000US1719642
13185,Crestwood Police,1600000US1717497
13186,Countryside Police,1600000US1716873
13187,Country Club Hills Police,1600000US1716691
13188,Cook County Sheriff,
13189,Cook County Forest Preserve Police,
13191,Cicero Police,1600000US1714351
13192,Chicago State University Police,
13193,Chicago Ridge Police,1600000US1714065
13194,Chicago Police,1600000US1714000
13195,Chicago Metra Police,
13196,Chicago Heights Police,1600000US1714026
13197,Calumet Park Police,1600000US1710513
13198,Calumet City Police,1600000US1710487
13199,Burnham Police,1600000US1709798
13200,Burbank Police,1600000US1709642
13204,Bridgeview Police,1600000US1708225
13205,Bnsf Railroad Police,
13206,Blue Island Police,1600000US1706704
13207,Berwyn Police,1600000US1705573
13208,Berkeley Police,1600000US1705404
13209,Bellwood Police,1600000US1704975
13210,Bedford Park Police,1600000US1704572
13211,Bartlett Police,1600000US1704013
13212,Arlington Heights Police,1600000US1702154
13213,Alsip Police,1600000US1701010
13214,Robinson Police,1600000US1764707
13215,Palestine Police,1600000US1757277
13216,Oblong Police,1600000US1755106
13217,Hutsonville Police,1600000US1736841
13218,Crawford County Sheriff,
13219,Neoga Police,1600000US1751986
13220,Greenup Police,1600000US1731524
13221,Cumberland County Sheriff,
13222,Toledo Police,1600000US1775601
13223,Dekalb County Sheriff,
13224,Somonauk Police,1600000US1770460
13225,Sauget Police,1600000US1767756
13226,Sandwich Police,1600000US1767548
13227,Northern Illinois University Police,
13228,Malta Police,1600000US1746279
13229,Kirkland Police,1600000US1740156
13230,Kingston Police,1600000US1740065
13231,Hinckley Police,1600000US1735268
13232,Genoa Police,1600000US1728898
13233,Dekalb Police,1600000US1719161
13234,Cortland Police,1600000US1716470
13235,Farmer City Police,1600000US1725414
13236,Dewitt County Sheriff,
13237,Clinton Police,1600000US1715001
13238,Villa Grove Police,1600000US1777941
13239,Tuscola Police,1600000US1776407
13240,Douglas County Sheriff,
13241,Atwood Police,1600000US1702882
13242,Arthur Police,1600000US1702414
13243,Arcola Police,1600000US1701881
13244,Newman Police,1600000US1752623
13245,Addison Police,1600000US1700243
13246,Benedictine University Police,
13247,Bensenville Police,1600000US1705248
13248,Bloomingdale Police,1600000US1706587
13249,Burr Ridge Police,1600000US1709980
13250,Carol Stream Police,1600000US1711332
13251,Clarendon Hills Police,1600000US1714572
13252,College Of Dupage Police,
13253,Darien Police,1600000US1718628
13254,Downers Grove Police,1600000US1720591
13255,Dupage County Sheriff,
13256,Elmhurst Police,1600000US1723620
13257,Fox River Valley Gard Police,
13258,Glen Ellyn Police,1600000US1729756
13259,Glendale Heights Police,1600000US1729730
13260,Hinsdale Police,1600000US1735307
13261,Itasca Police,1600000US1737907
13262,Lisle Police,1600000US1743939
13263,Lombard Police,1600000US1744407
13264,Naperville Police,1600000US1751622
13265,Oak Brook Police,1600000US1754534
13266,Oakbrook Terrace Police,1600000US1754560
13267,Roselle Police,1600000US1765806
13268,Villa Park Police,1600000US1777993
13269,Warrenville Police,1600000US1778929
13270,Wayne Police,1600000US1779397
13271,West Chicago Police,1600000US1780060
13272,Westmont Police,1600000US1780645
13273,Wheaton Police,1600000US1781048
13274,Willowbrook Police,1600000US1781919
13275,Winfield Police,1600000US1782400
13276,Wood Dale Police,1600000US1782985
13277,Woodridge Police,1600000US1783245
13278,Paris Police,1600000US1757628
13279,Kansas Police,1600000US1738986
13280,Edgar County Sheriff,
13281,Chrisman Police,1600000US1714273
13282,West Salem Police,1600000US1780853
13283,Edwards County Sheriff,
13284,Albion Police,1600000US1700568
13285,Teutopolis Police,1600000US1774743
13286,Effingham Police,1600000US1722736
13287,Effingham County Sheriff,
13288,Altamont Police,1600000US1701049
13289,Vandalia Police,1600000US1777317
13290,St. Peter Police,1600000US1767132
13291,St. Elmo Police,1600000US1766794
