Agency Code,Agency Name,GEOID
AACCPSP,AACCPSP,
AACOPD,Anne Arundel County Police Department,0500000US24003
AACOSHERIFF,Anne Arundel County Sheriff's Office,
ABERDEEN,Aberdeen Police Department,1600000US2400125
ALLEGANY,Allegany County Sheriff's Office,
ANNAPOLIS,Annapolis Police Department,1600000US2401600
BACOPD,Baltimore County Police Department,0500000US24005
BALTIMORE,BALTIMORE,
BALTIMORESCHOOL,Baltimore City Schools Police,
BALTOENVIR,Baltimore City Environmental Police,
BALTSHERIFF,Baltimore County Sheriff's Office,
BELAIR,Bel Air Police Department,1600000US2405550
BERLIN,Berlin Police Department,1600000US2406800
BERWYNHEIGHTS,Berwyn Heights Police Department,1600000US2406925
BLADENSBURG,Bladensburg Police Department,1600000US2407850
BOONSBORO,Boonsboro Police Department,1600000US2408625
BOWIE,Bowie Police Department,1600000US2408775
BOWIEUNIV,"Bowie State University, Department of Public Safety",
BRENTWOOD,Brentwood Police Department,1600000US2409500
BRUNSWICK,Brunswick Police Department,1600000US2410900
CALVERT,Calvert County Sheriff's Office,
CAMBRIDGE,Cambridge Police Department,1600000US2412400
CAPITOLHEIGHTS,Capitol Heights Police Department,1600000US2413000
CAROLINE,Caroline County Sheriff's Department,
CARROLL,Carroll County Sheriff's Office,
CECIL,Cecil County Sheriff's Office,
CENTREVILLE,Centreville Police Department,1600000US2414950
CHARLES,Charles County Sheriff's Office,
CHESTERTOWN,Chestertown Police Department,1600000US2416225
CHEVERLY,Cheverly Police Department,1600000US2416550
CHEVYCHASE,Chevy Chase Village Police Department,1600000US2416787
COLMAR,Colmar Manor Police Department,1600000US2418850
COMPTROLLER,COMPTROLLER,
COPPIN,Coppin State University Police Department,
COTTAGECITY,Cottage City Police Department,1600000US2420050
CROFTON,Crofton Police Department,
CUMBERLAND,Cumberland Police Department,1600000US2421325
DELMAR,Delmar Police Department,1600000US2422600
DELTA,DELTA,
DENTON,Denton Police Department,1600000US2422725
DGS,Department of General Services-Maryland Capital Police,
DHMH,DHMH,
DISTHEIGHTS,District Heights Police Department,1600000US2423025
DORCHESTER,Dorchester County Sheriff's Office,
EASTON,Easton Police Department,1600000US2424475
EDMONSTON,Edmonston Police Department,1600000US2425425
ELKTON,Elkton Police Department,1600000US2425800
FAIRMOUNT,Fairmont Heights Police Department,
FEDERALSBURG,Federalsburg Police Department,1600000US2427900
FORESTHEIGHTS,Forest Heights Police Department,1600000US2428725
FORTDETRICK,Fort Detrick Police,
FORTMEADE,Fort Meade Police,
FREDERICK,Frederick County Sheriff's Office,
FREDERICKPD,Frederick City Police Department,1600000US2430325
FROSTBURG,Frostburg State University Police Department,
FRUITLAND,Fruitland Police Department,1600000US2430950
GAITHERSBURG,Gaithersburg Police Department,1600000US2431175
GARRETT,Garrett County Sheriff's Office,
GLENARDEN,Glenarden Police Department,1600000US2432500
GREENBELT,Greenbelt Police Department,1600000US2434775
GREENSBORO,Greensboro Police Department,1600000US2435200
HAGERSTOWN,Hagerstown Police Department,1600000US2436075
